bigram_Words,count
asset rehypothecation,44
implication remaining,44
remaining question,44
jesse mcwaters,42
thomson reuters,42
managing director,42
approach key,42
incumbent institution,42
institutional investor,42
implication financial,42
sign finding,42
state finding,42
claim processing,42
identity network,42
investment bank,42
export bank,42
financial infrastructure,40
customer data,40
executive summary,40
identity provider,40
relying party,40
counterparty risk,40
decentralised traditional,40
algorithmic trading,40
insurance policy,40
peer based,40
state pain,40
process description,40
import bank,40
bank money,40
implication customer,38
financial ecosystem,38
uncertainty future,38
interest rate,38
alternative model,38
private equity,38
service delivery,38
key characteristic,38
connection platform,38
proxy voting,38
custodian bank,38
global financial,36
long term,36
key findingscontext,36
findingscontext approach,36
economy scale,36
risk management,36
potential state,36
efindings uncertainty,36
hedge fund,36
demand supply,36
physical identity,36
transaction history,36
case deep,36
loan absorption,36
process depiction,36
state benefit,36
challenge challenge,36
service industry,34
chief executive,34
user experience,34
competitive landscape,34
customer trust,34
key takeaway,34
customer benefit,34
connected insurance,34
customer loyalty,34
gain access,34
party data,34
trading platform,34
user group,34
distributed identity,34
model lending,34
founder ceo,34
payment cashless,34
lending alternative,34
letter credit,34
depiction world,34
rehypothecation percentage,34
custodian custodian,34
head financial,32
financial crisis,32
role financial,32
customer expectation,32
competitive advantage,32
online mobile,32
alternative lender,32
faster payment,32
insurance company,32
decision making,32
playing field,32
infrastructure provider,32
express gratitude,32
attribute exchange,32
complete transaction,32
benefit accrue,32
high frequency,32
alternative scheme,32
automated compliance,32
equity post,32
loss adjuster,32
weforum org,30
executive officer,30
global head,30
morgan stanley,30
director head,30
customer segment,30
finding quantitative,30
sharing economy,30
challenger bank,30
increased competition,30
study quantitative,30
niche market,30
manual process,30
technology provider,30
public private,30
private sector,30
empowerment individual,30
real life,30
life event,30
payment decentralised,30
core capability,30
stress test,30
rob galaski,28
service customer,28
distribution channel,28
asset management,28
data customer,28
payment system,28
state critical,28
state three,28
insurance chain,28
customer preference,28
market competitive,28
access data,28
robo advisory,28
process execution,28
large number,28
risk high,28
team express,28
entity asset,28
implication fis,28
management empowerment,28
today future,28
view market,28
disaggregation chain,28
increasing level,28
level connectivity,28
smaller institution,28
customer channel,28
channel preference,28
stage company,28
large small,28
member member,28
pledged member,28
working group,26
deloitte consulting,26
consulting llp,26
united state,26
member firm,26
evolutionary path,26
apple pay,26
institution ability,26
middle office,26
gain market,26
open platform,26
asset manager,26
allow customer,26
shift focus,26
alternative currency,26
payment ecosystem,26
customer risk,26
platform provide,26
lending model,26
small medium,26
big data,26
external service,26
risk averse,26
time settlement,26
expert contributed,26
alphabetical order,26
user consent,26
potential future,26
traditional player,26
insurance disaggregation,26
frequency trading,26
insurance increasing,26
business process,26
raising alternative,26
principal interest,26
market large,26
regulatory agency,26
management process,26
provisioning connecting,26
connecting buyer,26
contingent convertible,26
bank investor,26
forum current,26
public sector,24
professional service,24
head strategy,24
payment innovation,24
wide range,24
customer bank,24
product manufacturing,24
control customer,24
regulatory environment,24
conclusion case,24
alternative rail,24
card issuer,24
insurance finding,24
insurance industry,24
commercial line,24
traditional bank,24
cost product,24
move upstream,24
human error,24
management industry,24
product offering,24
secondary market,24
buy side,24
giancarlo bruno,24
regulatory compliance,24
access service,24
financial transaction,24
dlt potential,24
complete view,24
provisioning smarter,24
disruptive trend,24
lending shifting,24
characteristic future,24
potential outcome,24
key question,24
scenario realised,24
summary context,24
customer merchantspayment,24
merchantspayment solution,24
settlement time,24
process technology,24
risk seeking,24
risk borrower,24
mass investor,24
investment expert,24
convertible coco,24
stakeholder alignment,24
financial agreement,24
compliance activity,24
member pledged,24
cast vote,24
percentage rehypothecation,24
steering committee,22
forum project,22
deloitte touche,22
private company,22
corporate strategy,22
deutsche bank,22
property casualty,22
business development,22
data set,22
reduce cost,22
barrier entry,22
competitive pressure,22
management service,22
card based,22
payment finding,22
point sale,22
initiate payment,22
cross border,22
solution bank,22
traditional scheme,22
balance sheet,22
personal insurance,22
full service,22
alternative adjudication,22
financial platform,22
machine learning,22
funding cost,22
financial data,22
track record,22
fixed income,22
equity investment,22
trade process,22
technology platform,22
traditional provider,22
contributed valuable,22
valuable perspective,22
perspective interview,22
attribute collection,22
identity management,22
identity service,22
tax filing,22
access trusted,22
natural identity,22
idp rps,22
dimension choice,22
digital wallet,22
application dlt,22
reducing time,22
role traditional,22
key disruptive,22
default card,22
funding option,22
context innovation,22
scenario illustrate,22
illustrate potential,22
outcome generated,22
generated innovation,22
innovation discussed,22
discussed topic,22
topic response,22
response key,22
question meant,22
meant future,22
future prediction,22
prediction scenario,22
scenario illustration,22
illustration aspect,22
aspect potential,22
future meant,22
meant represent,22
represent complete,22
landscape case,22
case scenario,22
realised time,22
question scenario,22
safe bet,22
bet implication,22
fiat currency,22
alternative provider,22
personal data,22
large institution,22
asset product,22
benefit world,22
sender beneficiary,22
vice president,20
service project,20
regulator incumbent,20
transformative potential,20
finding key,20
profit pool,20
fintechs regulator,20
implication fintechs,20
united kingdom,20
customer demand,20
customer engagement,20
trade execution,20
participant role,20
key ecosystem,20
ecosystem stakeholder,20
key trend,20
future payment,20
customer behaviour,20
scheme traditional,20
critical mass,20
customer acquisition,20
financial firm,20
lending finding,20
source data,20
online lender,20
medium sized,20
investment advice,20
early stage,20
angel investor,20
market platform,20
financial return,20
large scale,20
potential impact,20
allow fis,20
authenticate user,20
single entity,20
compliance process,20
user identity,20
attribute user,20
system designed,20
authentication system,20
centralized identity,20
population registry,20
system built,20
digital attribute,20
cluster innovation,20
primary account,20
individual risk,20
averse risk,20
niche provider,20
worth institutional,20
series mid,20
affluent market,20
market making,20
market connection,20
regulatory governance,20
summary outlook,20
unanswered question,20
importer exporter,20
point time,20
trigger option,20
potential financial,18
advice service,18
group head,18
retail banking,18
identity protocol,18
industry leader,18
data monetization,18
cost effective,18
product manufacturer,18
small business,18
platform allow,18
legacy system,18
artificial intelligence,18
bank america,18
cloud based,18
conclusion key,18
market incumbent,18
mobile wallet,18
insurer ability,18
life insurer,18
risk capital,18
insurance state,18
incumbent bank,18
regulator bank,18
focus niche,18
data breach,18
thin file,18
evidence key,18
capability provider,18
external provider,18
office function,18
data driven,18
retail investor,18
small large,18
crowdfunding finding,18
platform traditional,18
capital investment,18
access capital,18
regulatory change,18
infrastructure finding,18
seller intermediary,18
data provider,18
life cycle,18
senior director,18
gratitude subject,18
central bank,18
best suited,18
provide identity,18
authorization attribute,18
authentication attribute,18
user control,18
system user,18
attribute transferred,18
secondary dimension,18
transparent view,18
merchant payment,18
mobile money,18
institution financial,18
payment market,18
standardised platform,18
fund fund,18
key opportunity,18
account provider,18
sender recipient,18
sender bank,18
cross sell,18
insurance model,18
opportunity exist,18
risk appetite,18
saver borrower,18
virtual channel,18
automated investment,18
raising platform,18
capital private,18
intermediating institution,18
mid market,18
opportunity local,18
return investment,18
based funding,18
externalisation provider,18
newer smaller,18
algorithmic trader,18
case highlight,18
participant world,18
beneficiary bank,18
condition implementation,18
financial detail,18
time stress,18
investment record,18
stored dlt,18
state background,18
background key,18
stakeholder overview,18
introduction world,18
role description,18
key market,18
condition world,18
alignment technology,18
technology regulatory,18
governance critical,18
condition category,18
outlook key,18
takeaway unanswered,18
conclusion world,18
syndicate member,18
bank regulator,18
online mail,18
safekeeping account,18
entity dttl,16
dttl member,16
professional advice,16
mcwaters weforum,16
thought leadership,16
banking group,16
mcwaters project,16
project lead,16
context approach,16
contact detail,16
key stakeholder,16
blueprint digital,16
broader financial,16
innovator subject,16
core competency,16
loan origination,16
uncertainty fintechs,16
regulator implication,16
product distributor,16
advisory service,16
future market,16
distribution platform,16
aggregation platform,16
incumbent implication,16
digital experience,16
data collection,16
advanced analytics,16
best execution,16
clearing house,16
path forward,16
takeaway financial,16
major force,16
low fee,16
revenue stream,16
customer implication,16
card usage,16
product customer,16
meet customer,16
business insider,16
core business,16
service product,16
change role,16
risk market,16
based insurance,16
personal line,16
risk assessment,16
virtual bank,16
technology company,16
banking finding,16
party organization,16
curated platform,16
level playing,16
service user,16
high quality,16
customer stickiness,16
management finding,16
market condition,16
stage venture,16
increased access,16
platform grow,16
deloitte rob,16
support deloitte,16
digital asset,16
asset holding,16
service community,16
multi stakeholder,16
addition project,16
identity challenge,16
global identity,16
delivery authorization,16
exchange authentication,16
collection standard,16
legal regulatory,16
transaction require,16
governance body,16
act idp,16
transferred idp,16
identity offer,16
transfer attribute,16
online service,16
sector solution,16
version truth,16
identity help,16
risk customer,16
ecosystem increased,16
institution leverage,16
payment settlement,16
saving payment,16
service function,16
improve efficiency,16
technology player,16
cost saving,16
claim servicing,16
institution alternative,16
interest payment,16
clearing settlement,16
larger company,16
investor high,16
seed series,16
field newer,16
larger institution,16
financial asset,16
buyer intermediary,16
large large,16
service infrastructure,16
dlt provide,16
highlight key,16
operational risk,16
diligence underwriting,16
absorption activated,16
adjuster claim,16
category summary,16
core entity,16
custom country,16
verified good,16
bill lading,16
audit report,16
statement investor,16
bank collateral,16
equity trade,16
trade detail,16
deloitte detailed,14
detailed description,14
chief operating,14
operating officer,14
strategy business,14
chief technology,14
capital partner,14
service ecosystem,14
model financial,14
high level,14
leader innovator,14
cost high,14
payment rail,14
service financial,14
institution increasingly,14
multiple source,14
customer facing,14
regulator monitor,14
saving account,14
european union,14
ownership customer,14
product distribution,14
pre existing,14
role human,14
financial market,14
key innovation,14
greatly evolved,14
evolved year,14
year examines,14
examines key,14
trend shaping,14
shaping industry,14
industry uncertain,14
uncertain path,14
introduction finding,14
conclusion half,14
half decade,14
payment landscape,14
circa major,14
force impacting,14
circa big,14
big uncertainty,14
disruption occur,14
disruption occurred,14
mobile channel,14
overview finding,14
online payment,14
short term,14
directly bank,14
wall street,14
payment card,14
emerged resolution,14
resolution key,14
uncertainty paint,14
diverging picture,14
picture future,14
know uncertainty,14
depending key,14
uncertainty resolved,14
resolved potential,14
state evolutionary,14
path implication,14
implication firm,14
second state,14
third state,14
data sharing,14
three critical,14
three finding,14
forbes retrieved,14
http forbes,14
forbes site,14
reference finding,14
traditional product,14
product design,14
size fit,14
market traditional,14
term product,14
improve customer,14
benefit digital,14
provide customer,14
banking platform,14
development digital,14
allows user,14
institution digital,14
margin pressure,14
based product,14
compete directly,14
platform focus,14
platform emerging,14
account receivable,14
loan funded,14
acquisition cost,14
sophisticated capability,14
risk lending,14
customer financial,14
charles schwab,14
access investment,14
casey quirk,14
access sophisticated,14
cash flow,14
risk investment,14
raise capital,14
capital firm,14
technology process,14
risk investor,14
investor regulator,14
investor gain,14
sell side,14
joint venture,14
revenue growth,14
currently explored,14
bruno senior,14
acknowledgement list,14
interview workshop,14
workshop alphabetical,14
identity critical,14
technology solution,14
landscape digital,14
private service,14
forum key,14
government service,14
understanding customer,14
individual identity,14
transaction counterparties,14
view customer,14
institution opportunity,14
improved compliance,14
support system,14
required transaction,14
transaction process,14
transfer money,14
user access,14
access user,14
single view,14
single version,14
implementation digital,14
risk liability,14
improved product,14
customer deliver,14
access financial,14
traditional lender,14
function financial,14
provider financial,14
customer gain,14
trading activity,14
activity automated,14
share wallet,14
flow money,14
card customer,14
retail financial,14
institution facilitate,14
saving lending,14
scenario incumbent,14
insurer insurer,14
external party,14
data insurer,14
renewalbinding party,14
behavioural data,14
cross subsidisation,14
platform alternative,14
borrower lender,14
institutional seed,14
large alternative,14
investment manager,14
core process,14
market maker,14
smaller intermediary,14
intermediary buyer,14
intermediary seller,14
required perform,14
regulated entity,14
dlt transformative,14
bank correspondent,14
local clearing,14
clearing network,14
utilizing dlt,14
inspection company,14
resource required,14
party intermediary,14
regulator supporting,14
contract smart,14
claim submission,14
report loss,14
request additional,14
claim agent,14
point world,14
proof concept,14
time intensive,14
activity executed,14
stored distributed,14
bank export,14
initiate shipment,14
independent audit,14
regulatory limit,14
cash equity,14
trade confirmation,14
service series,12
forum financial,12
project steering,12
deloitte network,12
provide service,12
decision action,12
action affect,12
affect business,12
lead author,12
leader global,12
lloyd banking,12
robert palatnick,12
cvc capital,12
julius baer,12
huw van,12
van steenis,12
service economic,12
sector deep,12
key uncertaintiescontext,12
uncertaintiescontext approach,12
large technology,12
incumbent financial,12
rail alternative,12
cost base,12
platform offer,12
time financial,12
process automation,12
data flow,12
systemic risk,12
control data,12
data aggregation,12
market data,12
fintechs key,12
offer customer,12
mobile banking,12
time data,12
based data,12
service implication,12
single point,12
customer platform,12
experience customer,12
regulatory framework,12
financial time,12
time retrieved,12
reading guide,12
based market,12
online shopping,12
foreign exchange,12
lending club,12
payment data,12
traditional rail,12
street journal,12
finding illustrate,12
paint three,12
three diverging,12
solution customer,12
system allows,12
payment state,12
access customer,12
customer payment,12
forum circa,12
finding disruption,12
specific insurance,12
customer connected,12
emerging risk,12
lower return,12
driving car,12
insurance insurer,12
distribution strategy,12
automated process,12
cyber insurance,12
insurance premium,12
data protection,12
uncertainty finding,12
create opportunity,12
product increasingly,12
shifting focus,12
change customer,12
banking experience,12
core system,12
platform banking,12
service bank,12
digital payment,12
york time,12
higher return,12
service based,12
customer customer,12
banking state,12
potential customer,12
alternative traditional,12
customer interaction,12
incumbent lender,12
credit risk,12
cost advantage,12
high customer,12
shared service,12
lending state,12
replace traditional,12
advisory offering,12
affluent customer,12
bespoke service,12
quality process,12
consolidation market,12
management state,12
decision support,12
wisdom crowd,12
commercial diligence,12
diligence tool,12
investor equity,12
venture capitalist,12
financial statement,12
investment decision,12
equity investor,12
crowdfunding state,12
social good,12
record keeping,12
capital requirement,12
electronic trading,12
depository trust,12
platform market,12
process improve,12
infrastructure state,12
lower price,12
traditional capital,12
central security,12
stakeholder group,12
forum acknowledgement,12
team jesse,12
acknowledgement member,12
touche llp,12
service provided,12
system digital,12
solution global,12
secure digital,12
knowledge customer,12
transaction volume,12
relationship customer,12
regulatory requirement,12
system identity,12
standard development,12
case financial,12
view user,12
forum identity,12
suited provide,12
process provide,12
highly manual,12
time consuming,12
risk exposure,12
physical document,12
potential human,12
digital economy,12
potential increase,12
mobile device,12
transaction identity,12
individual legal,12
authentication method,12
level assurance,12
assurance transaction,12
lorem ipsum,12
transfer user,12
system single,12
primary dimension,12
attribute rps,12
rps access,12
authenticates user,12
internal identity,12
external authentication,12
service world,12
individual business,12
provide single,12
choice secondary,12
guiding principle,12
financial inclusion,12
attribute transfer,12
competitive positioning,12
ownership data,12
asset rehypothecated,12
offer fis,12
capability digital,12
merchant customer,12
forum future,12
distributed capital,12
intermediary investment,12
externalisation key,12
emerging innovation,12
institution customer,12
risk insurance,12
wealth product,12
social trading,12
cheaper faster,12
market landscape,12
card bank,12
payment process,12
scenario consolidation,12
payment option,12
incentive customer,12
settlement rail,12
existing financial,12
native currency,12
open source,12
institution offer,12
increased focus,12
trusted intermediary,12
multi policy,12
mega insurer,12
allow insurer,12
servicing process,12
legacy process,12
traditional lending,12
risk deposit,12
investor saver,12
platform scenario,12
alternative niche,12
raising intermediary,12
equity debt,12
distributed platform,12
broader customer,12
automated service,12
relationship based,12
manager customer,12
level sophistication,12
trading algorithm,12
considered core,12
centralised communication,12
small institution,12
broker dealer,12
trading market,12
marketdata source,12
market framework,12
seller platform,12
best match,12
match large,12
legal framework,12
process level,12
state dlt,12
implication distributed,12
supporting entity,12
business rule,12
summary utilizing,12
time view,12
loan funding,12
underwriting template,12
contract dlt,12
federal reserve,12
equity cash,12
claim approved,12
number incumbent,12
loan life,12
member syndicate,12
manual activity,12
executed smart,12
data field,12
regulatory transparency,12
execution settlement,12
explored proof,12
concept level,12
finance process,12
risk position,12
bank smart,12
market calculation,12
auditor bank,12
account payable,12
audit team,12
shareholder meeting,12
beneficial investor,12
vote cast,12
bank cash,12
contract regulatory,12
cash commitment,12
approach address,10
entity deloitte,10
touche tohmatsu,10
tohmatsu limited,10
company limited,10
firm entity,10
galaski deloitte,10
rgalaski deloitte,10
officer deutsche,10
banking wealth,10
paul hastings,10
galaski project,10
dorothy hillenius,10
executive vice,10
peter rutland,10
nicolas skowronski,10
reshape financial,10
structured provisioned,10
provisioned consumed,10
change financial,10
fintech innovation,10
fully digital,10
technology firm,10
switching cost,10
ecosystem alternative,10
alternative capital,10
meeting customer,10
institution today,10
rapid growth,10
cost commoditization,10
dependent large,10
static data,10
directly customer,10
compete traditional,10
traditional insurance,10
control access,10
payment service,10
uncertainty archetype,10
data financial,10
greater control,10
customer choice,10
loss leader,10
platform owner,10
institution key,10
data point,10
point failure,10
experience financial,10
customer digital,10
find way,10
mobile based,10
consumer protection,10
automated clearing,10
payment experience,10
adoption mobile,10
occur disruption,10
pressure margin,10
market growing,10
based solution,10
payment platform,10
continued payment,10
interchange fee,10
credit score,10
card fee,10
key change,10
service allow,10
allow user,10
growth low,10
customer switch,10
market customer,10
digital currency,10
market shift,10
retail payment,10
post psd,10
access real,10
money solution,10
form partnership,10
develop solution,10
spending pattern,10
customer life,10
negotiating power,10
journal retrieved,10
pressure insurance,10
change insurance,10
changing customer,10
customer lifestyle,10
connected product,10
usage based,10
product emerging,10
margin traditional,10
evidence dfindings,10
insurer customer,10
insurance market,10
life product,10
digital distribution,10
regulatory body,10
line business,10
incumbent insurer,10
product allow,10
white label,10
customer service,10
digital tool,10
customer key,10
traditional deposit,10
mobile challenger,10
legacy infrastructure,10
platform customer,10
best breed,10
offer product,10
store customer,10
source investment,10
mass mass,10
social network,10
suite financial,10
account customer,10
controlled curated,10
product financial,10
institution choose,10
service digital,10
lose control,10
distribution network,10
conclusion finding,10
access credit,10
subprime customer,10
making difficult,10
data data,10
increasing cost,10
credit report,10
service model,10
lending product,10
institution create,10
high cost,10
operating cost,10
market volatility,10
banking licence,10
financial provider,10
market implication,10
gain sufficient,10
regulatory scrutiny,10
benefit scale,10
management investment,10
individual responsible,10
product increased,10
cost investment,10
advisory product,10
fiduciary rule,10
core function,10
online tool,10
flow management,10
investment product,10
manage risk,10
human factor,10
financial health,10
external data,10
institution service,10
mass market,10
increasing number,10
gain scale,10
management product,10
platform continue,10
grown rapidly,10
assist investor,10
accredited investor,10
investor protection,10
source capital,10
process digital,10
investor trade,10
better manage,10
investor provide,10
investor receive,10
investor confidence,10
low return,10
management platform,10
side firm,10
electronic platform,10
price discovery,10
political instability,10
future process,10
venture partnership,10
platform capital,10
traditional otc,10
data standard,10
financial instrument,10
technology dlt,10
data infrastructure,10
trust clearing,10
clearing corporation,10
market structure,10
income trading,10
match trade,10
platform create,10
transaction executed,10
change market,10
investor cash,10
bigger role,10
institution develop,10
platform financial,10
gratitude individual,10
hong kong,10
standard chartered,10
service support,10
identity role,10
building digital,10
chief staff,10
deputy director,10
list subject,10
identity project,10
system world,10
identity provide,10
structure identity,10
kyc process,10
identity allow,10
prove identity,10
established relationship,10
increased transparency,10
speed financial,10
transaction user,10
standardized view,10
government government,10
number user,10
control privacy,10
system standard,10
improved service,10
offer identity,10
system fis,10
implementation identity,10
identity provision,10
transaction high,10
limiting ability,10
high degree,10
well suited,10
identity individual,10
asset identity,10
stakeholder involved,10
transaction occur,10
deliver service,10
total risk,10
origination ownership,10
identity digital,10
entity digital,10
system support,10
privacy control,10
privacy security,10
entity identity,10
set attribute,10
attribute attribute,10
ownership history,10
entity hold,10
user user,10
example include,10
user relying,10
management system,10
system asset,10
ipsum lorem,10
storage transfer,10
identity distributed,10
completing transaction,10
attribute held,10
service offered,10
idp authenticate,10
federated authentication,10
key archetype,10
archetype feature,10
private solution,10
better understand,10
service online,10
service idp,10
purpose system,10
improve user,10
securekey concierge,10
fis access,10
government programme,10
control transaction,10
system governance,10
entity identifier,10
key feature,10
transaction cost,10
external stakeholder,10
visibility asset,10
key role,10
event data,10
transaction abandonment,10
study benefit,10
number service,10
competitive position,10
regulator access,10
entity regulator,10
view legal,10
identity fis,10
operational efficiency,10
service high,10
ownership structure,10
additional capability,10
customer transaction,10
asset transaction,10
visibility transaction,10
emerging alternative,10
better connected,10
set risk,10
existing payment,10
institution lose,10
gain visibility,10
create competitive,10
trend summary,10
trend implication,10
lending traditional,10
institution access,10
customer traditional,10
high potential,10
customer merchant,10
vendor financing,10
proliferation niche,10
electronic transaction,10
reduced cost,10
rail financial,10
fragmentation payment,10
displacement credit,10
financial incentive,10
provider alternative,10
institution reduced,10
existing network,10
recipient bank,10
decentralised payment,10
decentralised scheme,10
sender sender,10
traditional model,10
limited visibility,10
compete alternative,10
alternative network,10
provider scenario,10
adoption alternative,10
reputational risk,10
higher level,10
reduce risk,10
historical data,10
create pressure,10
platform enable,10
specific asset,10
device allow,10
accurate underwriting,10
retailer external,10
exploration submission,10
submission underwriting,10
underwriting quoting,10
active management,10
data claim,10
limited access,10
adjudication method,10
institution transform,10
model key,10
default risk,10
higher risk,10
service broader,10
lending intermediary,10
change traditional,10
institution limited,10
underserved customer,10
seeking low,10
time narrative,10
based transaction,10
customer daily,10
daily life,10
account institution,10
high service,10
based platform,10
bank mass,10
based capital,10
worth individual,10
investment strategy,10
worth ultra,10
individual scenario,10
regulatory control,10
investment institution,10
sized organisation,10
communication regulatory,10
data analysis,10
smaller financial,10
making activity,10
liquidity market,10
trade day,10
price movement,10
take action,10
levelling playing,10
framework existing,10
existing institution,10
opening door,10
exclusive network,10
counterparties customer,10
dive approach,10
regulator regulated,10
distributed financial,10
regulator real,10
dlt case,10
payment claim,10
implementation dlt,10
condition met,10
money sender,10
bank beneficiary,10
international money,10
insurer reinsurer,10
syndicate formation,10
aml kyc,10
servicing activity,10
reduce counterparty,10
legacy platform,10
bond issuance,10
trigger calculation,10
investor participation,10
net transaction,10
enforcement regulatory,10
asset history,10
contract eliminate,10
core individual,10
bank core,10
report regulator,10
supporting documentation,10
forum claim,10
weather statistic,10
authority report,10
insuree smart,10
manual review,10
closing servicing,10
technology integration,10
review financial,10
counterparty rating,10
rating system,10
level number,10
exist fis,10
fis reduce,10
payment term,10
work directly,10
bank capital,10
investor core,10
authorized access,10
voting process,10
accessible investor,10
investor online,10
contract technology,10
secondary trading,10
validation custodian,10
prepared collaboration,8
collaboration deloitte,8
consistent economic,8
forum mission,8
mission applying,8
address issue,8
issue global,8
global impact,8
report involved,8
involved extensive,8
extensive outreach,8
outreach dialogue,8
discus insight,8
insight opportunity,8
industry project,8
committee working,8
group introduced,8
played invaluable,8
invaluable role,8
generous commitment,8
commitment support,8
capacity official,8
official professional,8
deloitte refers,8
refers deloitte,8
limited private,8
limited guarantee,8
guarantee dttl,8
dttl network,8
network member,8
firm legally,8
legally separate,8
separate independent,8
independent entity,8
dttl referred,8
referred deloitte,8
deloitte global,8
global provide,8
service client,8
client deloitte,8
description dttl,8
deloitte llp,8
rule regulation,8
general deloitte,8
business financial,8
responsible loss,8
sustained person,8
person relies,8
feedback question,8
question contact,8
author jesse,8
senior leader,8
provided guidance,8
guidance oversight,8
oversight thought,8
david puth,8
puth chief,8
officer cl,8
cl bank,8
william sheedy,8
sheedy global,8
global executive,8
executive corporate,8
strategy government,8
government relation,8
relation visa,8
chief officer,8
jason harris,8
harris chief,8
international property,8
michael harte,8
head innovation,8
service leader,8
leader deloitte,8
mastercard david,8
david craig,8
craig president,8
financial risk,8
risk thomson,8
reuters john,8
john flint,8
flint chief,8
management hsbc,8
member steering,8
team acknowledge,8
acknowledge executive,8
executive global,8
helped define,8
define project,8
project framework,8
framework shape,8
shape strategic,8
strategic analysis,8
analysis working,8
brown partner,8
partner paul,8
christof edel,8
edel global,8
hillenius director,8
director corporate,8
strategy ing,8
member working,8
victor matarranz,8
neil mumm,8
strategy visa,8
max neukirchen,8
strategy morgan,8
morgan chase,8
palatnick managing,8
director chief,8
technology architect,8
architect dtcc,8
justin pinkham,8
bob reany,8
partner nicolas,8
bank julius,8
colin teichholtz,8
teichholtz partner,8
pine river,8
river capital,8
security market,8
innotribe swift,8
swift institute,8
institute swift,8
incumbent regulator,8
shift financial,8
better understanding,8
lending investment,8
innovation impact,8
service structured,8
future implication,8
innovative entrant,8
york usa,8
workshop global,8
financial hub,8
hub total,8
total participant,8
participant including,8
including industry,8
expert regulator,8
guidance thought,8
global workshop,8
finding overview,8
player financial,8
technology financial,8
bypass traditional,8
lead financial,8
monetization data,8
flow data,8
streamline process,8
automate process,8
chain key,8
business business,8
institution implication,8
institution control,8
market power,8
service directive,8
user account,8
collect data,8
existing customer,8
product implication,8
platform data,8
specific business,8
add financial,8
platform open,8
customer ability,8
large incumbent,8
capture market,8
product platform,8
data provide,8
additional data,8
customer offer,8
face customer,8
human interaction,8
rise digital,8
institution institution,8
collection analysis,8
compete large,8
interaction financial,8
open data,8
platform ecosystem,8
market opportunity,8
solution problem,8
institution regulator,8
mitigate risk,8
jpmorgan chase,8
http content,8
digital leader,8
overview key,8
form factor,8
offering financial,8
payment continued,8
visible customer,8
customer consumer,8
consumer shift,8
purchase online,8
face competition,8
competition challenging,8
challenging regulatory,8
limiting adoption,8
nontraditional payment,8
online platform,8
enable transaction,8
detail stored,8
platform growth,8
online channel,8
high fee,8
customer credit,8
increasing competition,8
payment transaction,8
solution offer,8
revolving credit,8
lower interest,8
bank payment,8
service access,8
customer adopt,8
seamless customer,8
loyalty programme,8
convince customer,8
trust alternative,8
ecosystem traditional,8
vast majority,8
bank continue,8
payment industry,8
payment choice,8
gain popularity,8
market leader,8
low interest,8
data shared,8
multiple party,8
trusted third,8
customer solution,8
customer spending,8
continue rise,8
source revenue,8
data stream,8
institution focus,8
lower fee,8
future insurance,8
claim insurer,8
modularity insurance,8
chain enabling,8
emerging response,8
insurer face,8
product strategy,8
development product,8
customer purchasing,8
change product,8
channel insurer,8
customer changing,8
start offering,8
customer choose,8
micro insurance,8
remain competitive,8
insurer shift,8
personal commercial,8
customer insurer,8
continued insurance,8
insurance journal,8
commercial policy,8
market growth,8
offer digital,8
technology lead,8
yahoo finance,8
product connected,8
data connected,8
insurer work,8
john hancock,8
sharing agreement,8
liberty mutual,8
effort required,8
shape future,8
rise flexible,8
